task,method_outcome,method_discovery_seconds,method_replay_seconds,semantic_checks,ric3_outcome,ric3_seconds,jasper_outcome,jasper_seconds,vcf_outcome,vcf_seconds
buffer_128,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,0.06,timeout,,timeout,
buffer_32,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,0.01,proved,188.0,timeout,
buffer_64,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,0.03,proved,435.0,timeout,
counter_66,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,timeout,,proved,15.0
dp,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,6.0,timeout,
ex15,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,187.0,timeout,
ex3,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,54.0,proved,1.0
ex4,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,3.0,proved,1.0
ex51_57_1,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,6.0,timeout,
ex51,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,4.0,proved,2.0
ex80,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,2340.0,timeout,
fifo_ref_16,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,0.04,timeout,,timeout,
fifo_ref_64,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,0.15,timeout,,timeout,
fifo_vis,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,619.63,proved,1580.0,proved,8664.0
gr2006,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,275.51,proved,820.0,proved,1.0
gulwani_cegar2_1,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,123.82,proved,287.0,timeout,
gulwani_cegar2_2,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,119.36,proved,356.0,timeout,
gulwani_cegar2_3,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,233.0,timeout,
gulwani_cegar2_4,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,218.0,timeout,
gulwani_cegar2_5,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,timeout,,timeout,
gulwani_cegar2,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,187.0,timeout,
gulwani_fig1a_2,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,853.0,proved,1.0
gulwani_fig1a_4,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,613.0,proved,1.0
gulwani_fig1a_5,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,192.0,proved,1.0
gulwani_fig1a_6,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,timeout,,proved,1.0
gulwani_fig1a,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,192.0,proved,1.0
lrg_arb_lrg_16,missing,,,reset reviewed; premise consistency and vacuity unresolved,timeout,,proved,907.0,proved,750.0
lrg_arb_lrg_4,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,0.02,proved,3.0,proved,1.0
lrg_arb_lrg_8,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,2.55,proved,5.0,proved,2.0
simple_cam_16,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,0.06,proved,188.0,timeout,
simple_cam_8,missing,,,reset reviewed; premise consistency and vacuity unresolved,proved,0.03,proved,187.0,timeout,
